36.000,44.000,0.785
37.233,45.333,0.785
39.067,47.100,0.785
40.933,48.833,0.785
42.733,50.700,0.785
44.400,52.333,0.785
45.800,54.033,0.785
47.400,55.400,0.785
48.833,56.733,0.785
50.933,58.567,0.262
53.667,58.833,-0.262
55.600,58.033,-0.785
56.867,56.933,-1.309
57.400,54.700,-1.833
56.700,52.067,-2.356
55.067,50.300,-2.356
53.333,48.400,-2.880
51.033,47.933,-2.880
47.933,47.533,-2.356
45.967,45.533,-2.356
44.900,43.300,-1.571
44.667,40.900,-2.094
43.133,38.367,-2.356
41.067,36.200,-2.880
38.267,35.900,-3.665
35.767,37.667,-4.189
34.533,40.167,-4.712
34.767,42.300,-5.236